update_date,testing_program,group,Npos,Ntest,new.tests,new.pos,daily.pos,cmtv.perc.pos,cat
2020-08-18,RTC,fac.staff,28,12265,NA,NA,NA,0.22829188748471257,"Fac & Staff
(RTC)"
2020-08-19,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-20,RTC,fac.staff,28,12272,NA,NA,NA,0.22816166883963493,"Fac & Staff
(RTC)"
2020-08-21,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-22,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-23,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-24,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-25,RTC,fac.staff,28,12321,NA,NA,NA,0.22725428130833536,"Fac & Staff
(RTC)"
2020-08-26,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-27,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-28,RTC,fac.staff,28,12357,NA,NA,NA,0.22659221493890103,"Fac & Staff
(RTC)"
2020-08-29,RTC,fac.staff,28,12372,15,0,0,0.22631749110895572,"Fac & Staff
(RTC)"
2020-08-30,RTC,fac.staff,28,12391,19,0,0,0.22597046243241062,"Fac & Staff
(RTC)"
2020-08-31,RTC,fac.staff,28,12388,-3,0,-0,0.22602518566354535,"Fac & Staff
(RTC)"
2020-09-01,RTC,fac.staff,28,12392,4,0,0,0.22595222724338285,"Fac & Staff
(RTC)"
2020-09-02,RTC,fac.staff,28,12391,-1,0,-0,0.22597046243241062,"Fac & Staff
(RTC)"
2020-09-03,RTC,fac.staff,28,12400,9,0,0,0.22580645161290325,"Fac & Staff
(RTC)"
2020-09-04,RTC,fac.staff,28,12409,9,0,0,0.22564267870094287,"Fac & Staff
(RTC)"
2020-09-05,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-09-06,RTC,fac.staff,28,12423,NA,NA,NA,0.2253883924977864,"Fac & Staff
(RTC)"
2020-09-07,RTC,fac.staff,28,12423,0,0,NaN,0.2253883924977864,"Fac & Staff
(RTC)"
2020-09-08,RTC,fac.staff,28,12423,0,0,NaN,0.2253883924977864,"Fac & Staff
(RTC)"
2020-09-09,RTC,fac.staff,28,12423,0,0,NaN,0.2253883924977864,"Fac & Staff
(RTC)"
2020-09-10,RTC,fac.staff,28,12425,2,0,0,0.22535211267605634,"Fac & Staff
(RTC)"
2020-09-11,RTC,fac.staff,28,12430,5,0,0,0.22526146419951731,"Fac & Staff
(RTC)"
2020-09-12,RTC,fac.staff,29,12438,8,1,12.5,0.23315645602186846,"Fac & Staff
(RTC)"
2020-09-13,RTC,fac.staff,30,12446,8,1,12.5,0.24104129840912744,"Fac & Staff
(RTC)"
2020-09-14,RTC,fac.staff,31,12449,3,1,33.33333333333333,0.24901598521969637,"Fac & Staff
(RTC)"
2020-09-15,RTC,fac.staff,31,12450,1,0,0,0.248995983935743,"Fac & Staff
(RTC)"
2020-09-16,RTC,fac.staff,31,12450,0,0,NaN,0.248995983935743,"Fac & Staff
(RTC)"
2020-08-18,RTC,students,43,9217,NA,NA,NA,0.4665292394488445,"Students
(RTC)"
2020-08-18,SHCC,students,189,970,NA,NA,NA,19.48453608247423,"Students
(SHCC)"
2020-08-19,RTC,students,NA,NA,NA,NA,NA,NA,"Students
(RTC)"
2020-08-19,SHCC,students,NA,NA,NA,NA,NA,NA,"Students
(SHCC)"
2020-08-20,RTC,students,43,9344,NA,NA,NA,0.4601883561643836,"Students
(RTC)"
2020-08-20,SHCC,students,191,981,NA,NA,NA,19.469928644240568,"Students
(SHCC)"
2020-08-21,RTC,students,NA,NA,NA,NA,NA,NA,"Students
(RTC)"
2020-08-21,SHCC,students,NA,NA,NA,NA,NA,NA,"Students
(SHCC)"
2020-08-22,RTC,students,NA,NA,NA,NA,NA,NA,"Students
(RTC)"
2020-08-22,SHCC,students,NA,NA,NA,NA,NA,NA,"Students
(SHCC)"
2020-08-23,RTC,students,45,9896,NA,NA,NA,0.45472918350848823,"Students
(RTC)"
2020-08-23,SHCC,students,193,1002,NA,NA,NA,19.261477045908183,"Students
(SHCC)"
2020-08-24,RTC,students,45,9902,6,0,0,0.4544536457281357,"Students
(RTC)"
2020-08-24,SHCC,students,193,1002,0,0,NaN,19.261477045908183,"Students
(SHCC)"
2020-08-25,RTC,students,45,9896,-6,0,-0,0.45472918350848823,"Students
(RTC)"
2020-08-25,SHCC,students,193,1002,0,0,NaN,19.261477045908183,"Students
(SHCC)"
2020-08-26,RTC,students,46,10025,129,1,0.7751937984496124,0.45885286783042395,"Students
(RTC)"
2020-08-26,SHCC,students,193,1002,0,0,NaN,19.261477045908183,"Students
(SHCC)"
2020-08-27,RTC,students,48,10472,447,2,0.44742729306487694,0.4583651642475172,"Students
(RTC)"
2020-08-27,SHCC,students,194,1019,17,1,5.88235294117647,19.03827281648675,"Students
(SHCC)"
2020-08-28,RTC,students,48,10570,98,0,0,0.4541154210028382,"Students
(RTC)"
2020-08-28,SHCC,students,194,1019,0,0,NaN,19.03827281648675,"Students
(SHCC)"
2020-08-29,RTC,students,49,10833,263,1,0.38022813688212925,0.45232160989568915,"Students
(RTC)"
2020-08-29,SHCC,students,195,1047,28,1,3.571428571428571,18.624641833810887,"Students
(SHCC)"
2020-08-30,RTC,students,49,11067,234,0,0,0.4427577482605946,"Students
(RTC)"
2020-08-30,SHCC,students,196,1058,11,1,9.090909090909092,18.525519848771268,"Students
(SHCC)"
2020-08-31,RTC,students,49,11071,4,0,0,0.4425977779785024,"Students
(RTC)"
2020-08-31,SHCC,students,196,1058,0,0,NaN,18.525519848771268,"Students
(SHCC)"
2020-09-01,RTC,students,49,11070,-1,0,-0,0.44263775971093045,"Students
(RTC)"
2020-09-01,SHCC,students,196,1058,0,0,NaN,18.525519848771268,"Students
(SHCC)"
2020-09-02,RTC,students,49,11191,121,0,0,0.4378518452327763,"Students
(RTC)"
2020-09-02,SHCC,students,199,1077,19,3,15.789473684210526,18.477251624883937,"Students
(SHCC)"
2020-09-03,RTC,students,50,11359,168,1,0.5952380952380952,0.44017959327405587,"Students
(RTC)"
2020-09-03,SHCC,students,203,1095,18,4,22.22222222222222,18.538812785388128,"Students
(SHCC)"
2020-09-04,RTC,students,52,11467,108,2,1.8518518518518516,0.4534751896747188,"Students
(RTC)"
2020-09-04,SHCC,students,209,1124,29,6,20.689655172413794,18.594306049822066,"Students
(SHCC)"
2020-09-05,RTC,students,56,11602,135,4,2.9629629629629632,0.4826754007929667,"Students
(RTC)"
2020-09-05,SHCC,students,209,1124,0,0,NaN,18.594306049822066,"Students
(SHCC)"
2020-09-06,RTC,students,57,11743,141,1,0.7092198581560284,0.4853955547986034,"Students
(RTC)"
2020-09-06,SHCC,students,256,1214,90,47,52.22222222222223,21.087314662273478,"Students
(SHCC)"
2020-09-07,RTC,students,57,11743,0,0,NaN,0.4853955547986034,"Students
(RTC)"
2020-09-07,SHCC,students,256,1214,0,0,NaN,21.087314662273478,"Students
(SHCC)"
2020-09-08,RTC,students,66,11818,75,9,12,0.558470130309697,"Students
(RTC)"
2020-09-08,SHCC,students,272,1253,39,16,41.02564102564102,21.707901037509977,"Students
(SHCC)"
2020-09-09,RTC,students,77,11905,87,11,12.643678160919542,0.6467870642587148,"Students
(RTC)"
2020-09-09,SHCC,students,272,1253,0,0,NaN,21.707901037509977,"Students
(SHCC)"
2020-09-10,RTC,students,78,11938,33,1,3.0303030303030303,0.6533757748366561,"Students
(RTC)"
2020-09-10,SHCC,students,272,1253,0,0,NaN,21.707901037509977,"Students
(SHCC)"
2020-09-11,RTC,students,100,12146,208,22,10.576923076923077,0.8233163181294254,"Students
(RTC)"
2020-09-11,SHCC,students,323,1349,96,51,53.125,23.943661971830984,"Students
(SHCC)"
2020-09-12,RTC,students,169,12427,281,69,24.555160142348754,1.3599420616399773,"Students
(RTC)"
2020-09-12,SHCC,students,323,1349,0,0,NaN,23.943661971830984,"Students
(SHCC)"
2020-09-13,RTC,students,259,12936,509,90,17.68172888015717,2.002164502164502,"Students
(RTC)"
2020-09-13,SHCC,students,450,1661,312,127,40.705128205128204,27.092113184828413,"Students
(SHCC)"
2020-09-14,RTC,students,311,13147,211,52,24.644549763033176,2.365558682589184,"Students
(RTC)"
