"","scrape_date","scrape_time","update_date","testing_program","group","value","value.2","N"
"1",2020-09-27,"11:07:09",2020-09-27,"RTC","fac.staff","Faculty and Staff Tested (With and Without Symptoms)","FS.test.RTC",12543
"2",2020-09-27,"11:07:09",2020-09-27,"RTC","fac.staff","Faculty and Staff Positive (With and Without Symptoms)","FS.pos.RTC",54
"3",2020-09-27,"11:07:09",2020-09-27,"RTC","fac.staff","Percent Positive","FS.percpos.RTC",0.43
"4",2020-09-27,"11:07:09",2020-09-27,"RTC","students","Students Tested (With and Without Symptoms)","S.test.RTC",15256
"5",2020-09-27,"11:07:09",2020-09-27,"RTC","students","Students Positive (With and Without Symptoms)","S.pos.RTC",773
"6",2020-09-27,"11:07:09",2020-09-27,"RTC","students","Percent Positive","S.percpos.RTC",5.07
"7",2020-09-27,"11:07:09",2020-09-27,"SHCC","students","Students With or Without Symptoms Tested for COVID-19","S.test.SHC",2176
"8",2020-09-27,"11:07:09",2020-09-27,"SHCC","students","Students With or Without Symptoms Confirmed as Positive","S.pos.SHC",565
"9",2020-09-27,"11:07:09",2020-09-27,"SHCC","students","Percent Positive","S.percpos.SHC",26
"10",2020-09-27,"11:07:09",2020-09-27,"contact.tracing","uf.affil","Cases Identified and Followed Among UF Affiliates","UF.affil.cases",2800
"11",2020-09-27,"11:07:09",2020-09-27,"contact.tracing","uf.affil","Contacts of UF Affiliates Identified and Followed","contacts.followed",2054
"12",2020-09-27,"11:07:09",2020-09-27,"contact.tracing","uf.affil","UF Affiliates or Contacts of UF Affiliates Currently in Isolation or Quarantine","UF.isol",535
"13",2020-09-27,"11:07:09",2020-09-27,"contact.tracing","uf.affil","UF Affiliates Returned to Campus","UF.affil.back",4319
