"","scrape_date","scrape_time","update_date","testing_program","group","value","value.2","N"
"1",2020-09-21,"12:17:57",2020-09-21,"RTC","fac.staff","Faculty and Staff Tested (With and Without Symptoms)","FS.test.RTC",12490
"2",2020-09-21,"12:17:57",2020-09-21,"RTC","fac.staff","Faculty and Staff Positive (With and Without Symptoms)","FS.pos.RTC",47
"3",2020-09-21,"12:17:57",2020-09-21,"RTC","fac.staff","Percent Positive","FS.percpos.RTC",0.38
"4",2020-09-21,"12:17:57",2020-09-21,"RTC","students","Students Tested (With and Without Symptoms)","S.test.RTC",14592
"5",2020-09-21,"12:17:57",2020-09-21,"RTC","students","Students Positive (With and Without Symptoms)","S.pos.RTC",650
"6",2020-09-21,"12:17:57",2020-09-21,"RTC","students","Percent Positive","S.percpos.RTC",4.45
"7",2020-09-21,"12:17:57",2020-09-21,"SHCC","students","Students With or Without Symptoms Tested for COVID-19","S.test.SHC",2063
"8",2020-09-21,"12:17:57",2020-09-21,"SHCC","students","Students With or Without Symptoms Confirmed as Positive","S.pos.SHC",545
"9",2020-09-21,"12:17:57",2020-09-21,"SHCC","students","Percent Positive","S.percpos.SHC",26.4
"10",2020-09-21,"12:17:57",2020-09-21,"contact.tracing","uf.affil","Cases Identified and Followed Among UF Affiliates","UF.affil.cases",2418
"11",2020-09-21,"12:17:57",2020-09-21,"contact.tracing","uf.affil","Contacts of UF Affiliates Identified and Followed","contacts.followed",1901
"12",2020-09-21,"12:17:57",2020-09-21,"contact.tracing","uf.affil","UF Affiliates or Contacts of UF Affiliates Currently in Isolation or Quarantine","UF.isol",923
"13",2020-09-21,"12:17:57",2020-09-21,"contact.tracing","uf.affil","UF Affiliates Returned to Campus","UF.affil.back",3396
