"","scrape_date","scrape_time","update_date","testing_program","group","value","value.2","N"
"1",2020-10-10,"22:33:15",2020-10-10,"RTC","fac.staff","Faculty and Staff Tested (With and Without Symptoms)","FS.test.RTC",12672
"2",2020-10-10,"22:33:15",2020-10-10,"RTC","fac.staff","Faculty and Staff Positive (With and Without Symptoms)","FS.pos.RTC",67
"3",2020-10-10,"22:33:15",2020-10-10,"RTC","fac.staff","Percent Positive","FS.percpos.RTC",0.53
"4",2020-10-10,"22:33:15",2020-10-10,"RTC","students","Students Tested (With and Without Symptoms)","S.test.RTC",16526
"5",2020-10-10,"22:33:15",2020-10-10,"RTC","students","Students Positive (With and Without Symptoms)","S.pos.RTC",922
"6",2020-10-10,"22:33:15",2020-10-10,"RTC","students","Percent Positive","S.percpos.RTC",5.58
"7",2020-10-10,"22:33:15",2020-10-10,"SHCC","students","Students With or Without Symptoms Tested for COVID-19","S.test.SHC",2268
"8",2020-10-10,"22:33:15",2020-10-10,"SHCC","students","Students With or Without Symptoms Confirmed as Positive","S.pos.SHC",574
"9",2020-10-10,"22:33:15",2020-10-10,"SHCC","students","Percent Positive","S.percpos.SHC",25.3
"10",2020-10-10,"22:33:15",2020-10-10,"contact.tracing","uf.affil","Cases Identified and Followed Among UF Affiliates","UF.affil.cases",3185
"11",2020-10-10,"22:33:15",2020-10-10,"contact.tracing","uf.affil","Contacts of UF Affiliates Identified and Followed","contacts.followed",2521
"12",2020-10-10,"22:33:15",2020-10-10,"contact.tracing","uf.affil","UF Affiliates or Contacts of UF Affiliates Currently in Isolation or Quarantine","UF.isol",460
"13",2020-10-10,"22:33:15",2020-10-10,"contact.tracing","uf.affil","UF Affiliates Returned to Campus","UF.affil.back",5246
