"","scrape_date","scrape_time","update_date","testing_program","group","value","value.2","N"
"1",2020-09-25,"12:33:05",2020-09-25,"RTC","fac.staff","Faculty and Staff Tested (With and Without Symptoms)","FS.test.RTC",12513
"2",2020-09-25,"12:33:05",2020-09-25,"RTC","fac.staff","Faculty and Staff Positive (With and Without Symptoms)","FS.pos.RTC",53
"3",2020-09-25,"12:33:05",2020-09-25,"RTC","fac.staff","Percent Positive","FS.percpos.RTC",0.42
"4",2020-09-25,"12:33:05",2020-09-25,"RTC","students","Students Tested (With and Without Symptoms)","S.test.RTC",14967
"5",2020-09-25,"12:33:05",2020-09-25,"RTC","students","Students Positive (With and Without Symptoms)","S.pos.RTC",736
"6",2020-09-25,"12:33:05",2020-09-25,"RTC","students","Percent Positive","S.percpos.RTC",4.91
"7",2020-09-25,"12:33:05",2020-09-25,"SHCC","students","Students With or Without Symptoms Tested for COVID-19","S.test.SHC",2145
"8",2020-09-25,"12:33:05",2020-09-25,"SHCC","students","Students With or Without Symptoms Confirmed as Positive","S.pos.SHC",562
"9",2020-09-25,"12:33:05",2020-09-25,"SHCC","students","Percent Positive","S.percpos.SHC",26.2
"10",2020-09-25,"12:33:05",2020-09-25,"contact.tracing","uf.affil","Cases Identified and Followed Among UF Affiliates","UF.affil.cases",2735
"11",2020-09-25,"12:33:05",2020-09-25,"contact.tracing","uf.affil","Contacts of UF Affiliates Identified and Followed","contacts.followed",2028
"12",2020-09-25,"12:33:05",2020-09-25,"contact.tracing","uf.affil","UF Affiliates or Contacts of UF Affiliates Currently in Isolation or Quarantine","UF.isol",771
"13",2020-09-25,"12:33:05",2020-09-25,"contact.tracing","uf.affil","UF Affiliates Returned to Campus","UF.affil.back",3992
