"","scrape_date","scrape_time","update_date","testing_program","group","value","value.2","N"
"1",2020-10-02,"09:39:35",2020-10-02,"RTC","fac.staff","Faculty and Staff Tested (With and Without Symptoms)","FS.test.RTC",12578
"2",2020-10-02,"09:39:35",2020-10-02,"RTC","fac.staff","Faculty and Staff Positive (With and Without Symptoms)","FS.pos.RTC",59
"3",2020-10-02,"09:39:35",2020-10-02,"RTC","fac.staff","Percent Positive","FS.percpos.RTC",0.47
"4",2020-10-02,"09:39:35",2020-10-02,"RTC","students","Students Tested (With and Without Symptoms)","S.test.RTC",15533
"5",2020-10-02,"09:39:35",2020-10-02,"RTC","students","Students Positive (With and Without Symptoms)","S.pos.RTC",807
"6",2020-10-02,"09:39:35",2020-10-02,"RTC","students","Percent Positive","S.percpos.RTC",5.2
"7",2020-10-02,"09:39:35",2020-10-02,"SHCC","students","Students With or Without Symptoms Tested for COVID-19","S.test.SHC",2225
"8",2020-10-02,"09:39:35",2020-10-02,"SHCC","students","Students With or Without Symptoms Confirmed as Positive","S.pos.SHC",570
"9",2020-10-02,"09:39:35",2020-10-02,"SHCC","students","Percent Positive","S.percpos.SHC",25.6
"10",2020-10-02,"09:39:35",2020-10-02,"contact.tracing","uf.affil","Cases Identified and Followed Among UF Affiliates","UF.affil.cases",2941
"11",2020-10-02,"09:39:35",2020-10-02,"contact.tracing","uf.affil","Contacts of UF Affiliates Identified and Followed","contacts.followed",2288
"12",2020-10-02,"09:39:35",2020-10-02,"contact.tracing","uf.affil","UF Affiliates or Contacts of UF Affiliates Currently in Isolation or Quarantine","UF.isol",475
"13",2020-10-02,"09:39:35",2020-10-02,"contact.tracing","uf.affil","UF Affiliates Returned to Campus","UF.affil.back",4754
