"","scrape_date","scrape_time","update_date","testing_program","group","value","value.2","N"
"1",2020-10-06,"12:41:23",2020-10-06,"RTC","fac.staff","Faculty and Staff Tested (With and Without Symptoms)","FS.test.RTC",12617
"2",2020-10-06,"12:41:23",2020-10-06,"RTC","fac.staff","Faculty and Staff Positive (With and Without Symptoms)","FS.pos.RTC",62
"3",2020-10-06,"12:41:23",2020-10-06,"RTC","fac.staff","Percent Positive","FS.percpos.RTC",0.49
"4",2020-10-06,"12:41:23",2020-10-06,"RTC","students","Students Tested (With and Without Symptoms)","S.test.RTC",16022
"5",2020-10-06,"12:41:23",2020-10-06,"RTC","students","Students Positive (With and Without Symptoms)","S.pos.RTC",853
"6",2020-10-06,"12:41:23",2020-10-06,"RTC","students","Percent Positive","S.percpos.RTC",5.32
"7",2020-10-06,"12:41:23",2020-10-06,"SHCC","students","Students With or Without Symptoms Tested for COVID-19","S.test.SHC",2246
"8",2020-10-06,"12:41:23",2020-10-06,"SHCC","students","Students With or Without Symptoms Confirmed as Positive","S.pos.SHC",571
"9",2020-10-06,"12:41:23",2020-10-06,"SHCC","students","Percent Positive","S.percpos.SHC",25.4
"10",2020-10-06,"12:41:23",2020-10-06,"contact.tracing","uf.affil","Cases Identified and Followed Among UF Affiliates","UF.affil.cases",3045
"11",2020-10-06,"12:41:23",2020-10-06,"contact.tracing","uf.affil","Contacts of UF Affiliates Identified and Followed","contacts.followed",2403
"12",2020-10-06,"12:41:23",2020-10-06,"contact.tracing","uf.affil","UF Affiliates or Contacts of UF Affiliates Currently in Isolation or Quarantine","UF.isol",383
"13",2020-10-06,"12:41:23",2020-10-06,"contact.tracing","uf.affil","UF Affiliates Returned to Campus","UF.affil.back",5065
