"","scrape_date","scrape_time","update_date","testing_program","group","value","value.2","N"
"1",2020-09-30,"14:45:44",2020-09-30,"RTC","fac.staff","Faculty and Staff Tested (With and Without Symptoms)","FS.test.RTC",12559
"2",2020-09-30,"14:45:44",2020-09-30,"RTC","fac.staff","Faculty and Staff Positive (With and Without Symptoms)","FS.pos.RTC",57
"3",2020-09-30,"14:45:44",2020-09-30,"RTC","fac.staff","Percent Positive","FS.percpos.RTC",0.45
"4",2020-09-30,"14:45:44",2020-09-30,"RTC","students","Students Tested (With and Without Symptoms)","S.test.RTC",15445
"5",2020-09-30,"14:45:44",2020-09-30,"RTC","students","Students Positive (With and Without Symptoms)","S.pos.RTC",797
"6",2020-09-30,"14:45:44",2020-09-30,"RTC","students","Percent Positive","S.percpos.RTC",5.16
"7",2020-09-30,"14:45:44",2020-09-30,"SHCC","students","Students With or Without Symptoms Tested for COVID-19","S.test.SHC",2196
"8",2020-09-30,"14:45:44",2020-09-30,"SHCC","students","Students With or Without Symptoms Confirmed as Positive","S.pos.SHC",567
"9",2020-09-30,"14:45:44",2020-09-30,"SHCC","students","Percent Positive","S.percpos.SHC",25.8
"10",2020-09-30,"14:45:44",2020-09-30,"contact.tracing","uf.affil","Cases Identified and Followed Among UF Affiliates","UF.affil.cases",2908
"11",2020-09-30,"14:45:44",2020-09-30,"contact.tracing","uf.affil","Contacts of UF Affiliates Identified and Followed","contacts.followed",2161
"12",2020-09-30,"14:45:44",2020-09-30,"contact.tracing","uf.affil","UF Affiliates or Contacts of UF Affiliates Currently in Isolation or Quarantine","UF.isol",399
"13",2020-09-30,"14:45:44",2020-09-30,"contact.tracing","uf.affil","UF Affiliates Returned to Campus","UF.affil.back",4670
