"","scrape_date","scrape_time","update_date","testing_program","group","value","value.2","N"
"1",2020-09-19,"22:14:00",2020-09-19,"RTC","fac.staff","Faculty and Staff Tested (With and Without Symptoms)","FS.test.RTC",12482
"2",2020-09-19,"22:14:00",2020-09-19,"RTC","fac.staff","Faculty and Staff Positive (With and Without Symptoms)","FS.pos.RTC",45
"3",2020-09-19,"22:14:00",2020-09-19,"RTC","fac.staff","Percent Positive","FS.percpos.RTC",0.36
"4",2020-09-19,"22:14:00",2020-09-19,"RTC","students","Students Tested (With and Without Symptoms)","S.test.RTC",14309
"5",2020-09-19,"22:14:00",2020-09-19,"RTC","students","Students Positive (With and Without Symptoms)","S.pos.RTC",585
"6",2020-09-19,"22:14:00",2020-09-19,"RTC","students","Percent Positive","S.percpos.RTC",4.09
"7",2020-09-19,"22:14:00",2020-09-19,"SHCC","students","Students With or Without Symptoms Tested for COVID-19","S.test.SHC",1952
"8",2020-09-19,"22:14:00",2020-09-19,"SHCC","students","Students With or Without Symptoms Confirmed as Positive","S.pos.SHC",525
"9",2020-09-19,"22:14:00",2020-09-19,"SHCC","students","Percent Positive","S.percpos.SHC",26.9
"10",2020-09-19,"22:14:00",2020-09-19,"contact.tracing","uf.affil","Cases Identified and Followed Among UF Affiliates","UF.affil.cases",2328
"11",2020-09-19,"22:14:00",2020-09-19,"contact.tracing","uf.affil","Contacts of UF Affiliates Identified and Followed","contacts.followed",1864
"12",2020-09-19,"22:14:00",2020-09-19,"contact.tracing","uf.affil","UF Affiliates or Contacts of UF Affiliates Currently in Isolation or Quarantine","UF.isol",1104
"13",2020-09-19,"22:14:00",2020-09-19,"contact.tracing","uf.affil","UF Affiliates Returned to Campus","UF.affil.back",3088
